#options: 920x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:24.30 aq:8.00 tex:291 mv:761 misc:6468 imb:2610 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:24.30 aq:9.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:2610 d:- ref:0 ;
in:4 out:2 type:P dur:2 cpbdur:2 q:24.30 aq:10.14 tex:1016 mv:2190 misc:202 imb:2609 pmb:1 smb:0 d:- ref:0 ;
in:3 out:3 type:B dur:2 cpbdur:2 q:24.30 aq:9.96 tex:4381 mv:6060 misc:343 imb:1387 pmb:1049 smb:174 d:- ref:0 ;
in:2 out:4 type:b dur:2 cpbdur:2 q:24.30 aq:11.69 tex:2869 mv:4962 misc:297 imb:1217 pmb:349 smb:1044 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:24.30 aq:11.85 tex:2019 mv:2444 misc:345 imb:1445 pmb:180 smb:985 d:- ref:0 w:6,109,-11,6,107,-86,109,-90 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:24.30 aq:11.22 tex:74 mv:105 misc:277 imb:0 pmb:62 smb:2548 d:s ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:20.30 aq:6.43 tex:3564 mv:2985 misc:403 imb:1615 pmb:126 smb:869 d:s ref:0 w:3,15,-17,5,57,-100,58,-104 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:24.25 aq:13.29 tex:3132 mv:3715 misc:441 imb:513 pmb:589 smb:1508 d:- ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:24.27 aq:12.38 tex:2622 mv:1461 misc:581 imb:230 pmb:238 smb:2142 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:24.23 aq:14.33 tex:590 mv:688 misc:442 imb:115 pmb:119 smb:2376 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:12.30 aq:1.76 tex:15037 mv:3487 misc:260 imb:2367 pmb:243 smb:0 d:s ref:0 w:6,91,-6,6,93,-58,93,-58 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:20.21 aq:6.95 tex:5764 mv:2071 misc:461 imb:285 pmb:702 smb:1623 d:s ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:20.25 aq:7.98 tex:357 mv:670 misc:373 imb:115 pmb:16 smb:2479 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:20.16 aq:7.47 tex:1036 mv:427 misc:433 imb:56 pmb:160 smb:2394 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:5.28 aq:0.00 tex:14584 mv:3467 misc:253 imb:2422 pmb:188 smb:0 d:s ref:0 w:5,37,-3,5,37,-20,37,-20 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:12.22 aq:2.93 tex:5084 mv:3468 misc:432 imb:512 pmb:362 smb:1736 d:s ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:3.78 aq:0.00 tex:8394 mv:3110 misc:360 imb:1202 pmb:76 smb:1332 d:s ref:0 w:6,81,-5,6,81,-34,81,-34 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:5.26 aq:0.00 tex:16062 mv:6262 misc:252 imb:970 pmb:248 smb:1392 d:s ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:5.27 aq:0.00 tex:16675 mv:4342 misc:431 imb:626 pmb:535 smb:1449 d:s ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:5.25 aq:0.00 tex:401 mv:6 misc:249 imb:0 pmb:6 smb:2604 d:- ref:0 ;
in:22 out:21 type:P dur:2 cpbdur:2 q:1.03 aq:0.00 tex:10842 mv:3766 misc:368 imb:2361 pmb:192 smb:57 d:s ref:0 w:5,35,1,6,71,-14,71,-14 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:3.75 aq:0.00 tex:550 mv:479 misc:323 imb:57 pmb:9 smb:2544 d:s ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:8282 mv:3458 misc:500 imb:2290 pmb:138 smb:182 d:s ref:0 w:5,33,1,6,67,-6,66,-4 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:18807 mv:3417 misc:272 imb:1606 pmb:192 smb:812 d:s ref:0 w:5,33,0,5,33,-4,33,-5 ;
in:26 out:25 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:11770 mv:1120 misc:518 imb:278 pmb:64 smb:2268 d:s ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:3072 mv:241 misc:479 imb:0 pmb:231 smb:2379 d:s ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:15966 mv:706 misc:312 imb:100 pmb:16 smb:2494 d:s ref:0 ;
in:29 out:28 type:P dur:2 cpbdur:2 q:0.00 aq:0.91 tex:27411 mv:1367 misc:670 imb:376 pmb:122 smb:2112 d:s ref:0 ;
in:28 out:29 type:b dur:2 cpbdur:2 q:0.00 aq:0.16 tex:18666 mv:1359 misc:639 imb:98 pmb:290 smb:2222 d:s ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:0.00 aq:0.04 tex:27386 mv:1176 misc:446 imb:208 pmb:89 smb:2313 d:s ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:0.00 aq:0.08 tex:23938 mv:1065 misc:397 imb:246 pmb:26 smb:2338 d:s ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:0.00 aq:0.12 tex:23391 mv:1051 misc:318 imb:206 pmb:71 smb:2333 d:s ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:0.00 aq:1.02 tex:47874 mv:2072 misc:470 imb:429 pmb:672 smb:1509 d:s ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:0.00 aq:0.99 tex:29254 mv:1186 misc:528 imb:204 pmb:285 smb:2121 d:s ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:0.00 aq:0.91 tex:20750 mv:994 misc:328 imb:246 pmb:27 smb:2337 d:s ref:0 ;
in:37 out:36 type:P dur:2 cpbdur:2 q:0.00 aq:0.19 tex:28643 mv:1422 misc:471 imb:301 pmb:70 smb:2239 d:s ref:0 ;
